course0, level_500
course1, level_500
course101, level_500
course103, level_500
course104, level_300
course108, level_500
course11, level_300
course110, level_400
course115, level_500
course116, level_500
course118, level_400
course119, level_500
course12, level_500
course120, level_500
course121, level_500
course122, level_400
course123, level_500
course124, level_300
course125, level_400
course126, level_400
course128, level_400
course129, level_500
course13, level_500
course132, level_500
course134, level_500
course136, level_500
course137, level_400
course138, level_500
course139, level_500
course14, level_500
course141, level_500
course143, level_400
course144, level_500
course146, level_300
course147, level_300
course148, level_400
course149, level_500
course15, level_500
course150, level_500
course151, level_400
course153, level_500
course156, level_500
course157, level_400
course158, level_500
course159, level_400
course16, level_500
course160, level_500
course161, level_400
course162, level_500
course164, level_400
course166, level_500
course167, level_500
course168, level_500
course170, level_500
course172, level_500
course173, level_500
course18, level_300
course19, level_500
course2, level_500
course20, level_400
course21, level_400
course23, level_500
course24, level_400
course27, level_400
course28, level_400
course29, level_500
course3, level_500
course30, level_400
course32, level_500
course34, level_500
course38, level_400
course39, level_500
course4, level_500
course40, level_500
course41, level_400
course44, level_400
course46, level_500
course48, level_400
course49, level_400
course50, level_500
course51, level_400
course52, level_400
course53, level_400
course57, level_400
course61, level_500
course62, level_400
course63, level_500
course64, level_500
course66, level_500
course67, level_500
course68, level_400
course7, level_500
course71, level_500
course74, level_500
course76, level_500
course77, level_500
course79, level_500
course8, level_400
course80, level_400
course82, level_400
course84, level_500
course88, level_500
course89, level_400
course9, level_500
course91, level_500
course93, level_400
course97, level_400
course98, level_500
